Object.ID,level,level2,level3,Names,Material,Materials,Object.Name,Link.Resource
501486,Aerophone,Blow Hole,end-blown flute (vertical),Vertical Duct Flute in D,Wood,Wood | metal | various materials,NA,http://www.metmuseum.org/art/collection/search/501486
501490,Aerophone,Blow Hole,end-blown flute (vertical),Duct Flute,Wood,Wood | metal | various materials,Duct Flute,http://www.metmuseum.org/art/collection/search/501490
501492,Aerophone,Reed Vibrated,double reed,Sea Dragon,Wood,Wood | brass | gilding,Sea Dragon,http://www.metmuseum.org/art/collection/search/501492
501501,Aerophone,Reed Vibrated,double reed,Sopranino Shawm,wood,wood | ivory,Sopranino Shawm,http://www.metmuseum.org/art/collection/search/501501
501502,Aerophone,Reed Vibrated,double reed,Hautbois de Poitou,wood,wood | ivory | metal,Hautbois de Poitou,http://www.metmuseum.org/art/collection/search/501502
501506,Aerophone,Reed Vibrated,double reed,Piffaro,Wood,Wood | metal | various materials,Piffaro,http://www.metmuseum.org/art/collection/search/501506
501512,Aerophone,Whistle Flute,flageolet,Flageolet in B-flat,Wood,Wood | ivory silver,NA,http://www.metmuseum.org/art/collection/search/501512
501525,Aerophone,Whistle Flute,recorder,Pitch Pipe,wood,wood | brass,Pitch Pipe,http://www.metmuseum.org/art/collection/search/501525
501547,Aerophone,Reed Vibrated,double reed,Pipiza,Wood,Wood | metal | various materials,Pipiza,http://www.metmuseum.org/art/collection/search/501547
501548,Aerophone,Reed Vibrated,double reed,Doccaina,Wood,Wood | brass | nickel-silver,Doccaina,http://www.metmuseum.org/art/collection/search/501548
501667,Aerophone,Lip Vibrated,trumpet / trombone,Cornu (reproduction),metal,metal | wood,Cornu (reproduction),http://www.metmuseum.org/art/collection/search/501667
501674,Aerophone,Reed Vibrated,bagpipe,Zampogna,Wood,Wood | metal,Zampogna,http://www.metmuseum.org/art/collection/search/501674
501678,Aerophone,Lip Vibrated,trumpet / trombone,Trumpet,Wood,Wood | metal | various materials,Trumpet,http://www.metmuseum.org/art/collection/search/501678
501686,Aerophone,Lip Vibrated,horn,Orchestral Horn,Wood,Wood | metal | various materials,Orchestral Horn,http://www.metmuseum.org/art/collection/search/501686
501688,Aerophone,Lip Vibrated,horn,Glass Horn,Wood,Wood | metal | various materials,Glass Horn,http://www.metmuseum.org/art/collection/search/501688
